의안번호,의안명(한글),제안일,소관위
2125615,대기관리권역의 대기환경개선에 관한 특별법 일부개정법률안,2023-11-24,
2125600,동남권순환 광역철도 건설 및 운영에 관한 특별법안,2023-11-24,
2125614,환경기술 및 환경산업 지원법 일부개정법률안,2023-11-24,
2125587,제약산업 육성 및 지원에 관한 특별법 일부개정법률안,2023-11-24,
2125588,환경영향평가법 일부개정법률안,2023-11-24,
2125589,의료법 일부개정법률안,2023-11-24,
2125590,전기사업법 일부개정법률안,2023-11-24,
2125591,에너지법 일부개정법률안,2023-11-24,
2125592,집단에너지사업법 일부개정법률안,2023-11-24,
2125593,도시가스사업법 일부개정법률안,2023-11-24,
2125594,정부조직법 일부개정법률안,2023-11-24,
2125595,노동조합 및 노동관계조정법 일부개정법률안,2023-11-24,
2125596,노인등 의료·요양·돌봄서비스 제공 및 이용에 관한 법률안,2023-11-24,
2125597,공동주택관리법 일부개정법률안,2023-11-24,
2125599,남부권 개발 특별법안,2023-11-24,
2125598,공직선거법 일부개정법률안,2023-11-24,
2125601,노인장기요양보험법 일부개정법률안,2023-11-24,
2125607,골재채취법 일부개정법률안,2023-11-24,
2125613,해양심층수의 개발 및 관리에 관한 법률 일부개정법률안,2023-11-24,
2125612,경비업법 일부개정법률안,2023-11-24,
2125611,공무원연금법 일부개정법률안,2023-11-24,
2125610,상법 일부개정법률안,2023-11-24,
2125608,중앙행정기관 청사의 수급 및 관리에 관한 법률안,2023-11-24,
2125609,국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,2023-11-24,
2125606,지방자치단체출연 연구원의 설립 및 운영에 관한 법률 일부개정법률안,2023-11-24,
2125605,원자력안전법 일부개정법률안,2023-11-24,
2125604,식품위생법 일부개정법률안,2023-11-24,
2125603,마약류 관리에 관한 법률 일부개정법률안,2023-11-24,
2125602,수입식품안전관리 특별법 일부개정법률안,2023-11-24,
2125580,방송통신발전 기본법 일부개정법률안,2023-11-23,과학기술정보방송통신위원회
2125574,지방세특례제한법 일부개정법률안,2023-11-23,행정안전위원회
2125576,조세특례제한법 일부개정법률안,2023-11-23,기획재정위원회
2125577,동물보호법 일부개정법률안,2023-11-23,농림축산식품해양수산위원회
2125578,노인장기요양보험법 일부개정법률안,2023-11-23,보건복지위원회
2125579,공직선거법 일부개정법률안,2023-11-23,행정안전위원회
2125575,과잉대출 및 불공정대출의 규제에 관한 법률안,2023-11-23,정무위원회
2125581,문화재보호법 일부개정법률안,2023-11-23,문화체육관광위원회
2125583,환경영향평가법 일부개정법률안,2023-11-23,환경노동위원회
2125584,도로법 일부개정법률안,2023-11-23,국토교통위원회
2125586,물가안정에 관한 법률 일부개정법률안,2023-11-23,기획재정위원회
2125585,국가재정법 일부개정법률안,2023-11-23,기획재정위원회
2125582,산업안전보건법 일부개정법률안,2023-11-23,환경노동위원회
2125566,정보통신기반 보호법 일부개정법률안,2023-11-22,과학기술정보방송통신위원회
2125559,방송법 일부개정법률안,2023-11-22,과학기술정보방송통신위원회
2125560,산업재해보상보험법 일부개정법률안,2023-11-22,환경노동위원회
2125561,영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2023-11-22,문화체육관광위원회
2125562,폐기물관리법 일부개정법률안,2023-11-22,환경노동위원회
2125563,소비자기본법 일부개정법률안,2023-11-22,정무위원회
2125564,국가공무원법 일부개정법률안,2023-11-22,행정안전위원회
2125565,물환경보전법 일부개정법률안,2023-11-22,환경노동위원회
2125567,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안,2023-11-22,교육위원회
2125568,국회법 일부개정법률안,2023-11-22,국회운영위원회
2125569,근로기준법 일부개정법률안,2023-11-22,환경노동위원회
2125570,게임산업진흥에 관한 법률 일부개정법률안,2023-11-22,문화체육관광위원회
2125571,보건의료인력지원법  일부개정법률안,2023-11-22,보건복지위원회
2125572,간호법안,2023-11-22,보건복지위원회
2125573,변호사법 일부개정법률안,2023-11-22,법제사법위원회
2125549,가맹사업거래의 공정화에 관한 법률 일부개정법률안,2023-11-21,정무위원회
2125541,전기사업법 일부개정법률안,2023-11-21,산업통상자원중소벤처기업위원회
2125543,건설산업기본법 일부개정법률안,2023-11-21,국토교통위원회
2125544,개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안,2023-11-21,국토교통위원회
2125545,외국환거래법 일부개정법률안,2023-11-21,기획재정위원회
2125546,의료법 일부개정법률안,2023-11-21,보건복지위원회
2125547,국회법 일부개정법률안,2023-11-21,국회운영위원회
2125548,공유재산 및 물품 관리법 일부개정법률안,2023-11-21,행정안전위원회
2125557,근로복지기본법 일부개정법률안,2023-11-21,환경노동위원회
2125550,대리점거래의 공정화에 관한 법률 일부개정법률안,2023-11-21,정무위원회
2125551,장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2023-11-21,보건복지위원회
2125552,지능정보화 기본법 일부개정법률안,2023-11-21,과학기술정보방송통신위원회
2125553,전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안,2023-11-21,국토교통위원회
2125554,전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안,2023-11-21,국토교통위원회
2125555,공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률 일부개정법률안,2023-11-21,정무위원회
2125556,아이돌봄 지원법 일부개정법률안,2023-11-21,여성가족위원회
2125558,첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률  일부개정법률안,2023-11-21,보건복지위원회
2125533,공인노무사법 일부개정법률안,2023-11-20,환경노동위원회
2125526,방송법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125527,중소기업은행법 일부개정법률안,2023-11-20,정무위원회
2125529,노인장기요양보험법 일부개정법률안,2023-11-20,보건복지위원회
2125530,병역법 일부개정법률안,2023-11-20,국방위원회
2125531,조세특례제한법 일부개정법률안,2023-11-20,기획재정위원회
2125532,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,2023-11-20,국토교통위원회
2125528,제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법 일부개정법률안,2023-11-20,행정안전위원회
2125534,보훈보상대상자 지원에 관한 법률 일부개정법률안,2023-11-20,정무위원회
2125536,참전유공자 예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-20,정무위원회
2125537,전기통신사업법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125540,방송법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125538,인터넷 멀티미디어 방송사업법 일부개정법률안,2023-11-20,과학기술정보방송통신위원회
2125539,탄소중립을 위한 전력 계통 확보 특별법안,2023-11-20,산업통상자원중소벤처기업위원회
2125535,고용정책 기본법 일부개정법률안,2023-11-20,환경노동위원회
2125503,항로표지법 일부개정법률안,2023-11-17,농림축산식품해양수산위원회
2125511,문화산업진흥 기본법 일부개정법률안,2023-11-17,문화체육관광위원회
2125507,한국토지주택공사법 일부개정법률안,2023-11-17,국토교통위원회
2125506,산업기술혁신 촉진법 일부개정법률안,2023-11-17,산업통상자원중소벤처기업위원회
2125504,공직선거법 일부개정법률안,2023-11-17,정치개혁특별위원회
2125500,자율방범대 설치 및 운영에 관한 법률 일부개정법률안,2023-11-17,행정안전위원회
2125502,국립소방병원의 설립 및 운영에 관한 법률 일부개정법률안,2023-11-17,행정안전위원회
2125501,공익법인의 설립·운영에 관한 법률 일부개정법률안,2023-11-17,법제사법위원회
2125513,형사소송법 일부개정법률안,2023-11-17,법제사법위원회
2125499,초·중등교육법 일부개정법률안,2023-11-17,교육위원회
2125512,인쇄문화산업 진흥법 일부개정법률안,2023-11-17,문화체육관광위원회
2125505,교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안,2023-11-17,교육위원회
2125514,형사보상 및 명예회복에 관한 법률 일부개정법률안,2023-11-17,법제사법위원회
2125520,국세징수법 일부개정법률안,2023-11-17,기획재정위원회
2125515,출판문화산업 진흥법 일부개정법률안,2023-11-17,문화체육관광위원회
2125525,소득세법 일부개정법률안,2023-11-17,기획재정위원회
2125524,비영리민간단체 지원법 일부개정법률안,2023-11-17,행정안전위원회
2125523,보조금 관리에 관한 법률 일부개정법률안,2023-11-17,기획재정위원회
2125521,위생용품 관리법 일부개정법률안,2023-11-17,보건복지위원회
2125522,지방자치단체 보조금 관리에 관한 법률 일부개정법률안,2023-11-17,행정안전위원회
2125519,국세기본법 일부개정법률안,2023-11-17,기획재정위원회
2125518,청소년복지 지원법 일부개정법률안,2023-11-17,여성가족위원회
2125517,새마을금고법 일부개정법률안,2023-11-17,행정안전위원회
2125516,자연재해대책법 일부개정법률안,2023-11-17,행정안전위원회
2125473,전자어음의 발행 및 유통에 관한 법률 일부개정법률안,2023-11-16,법제사법위원회
2125479,한국국제교류재단법 일부개정법률안,2023-11-16,외교통일위원회
2125478,공연법 일부개정법률안,2023-11-16,문화체육관광위원회
2125477,한ㆍ아프리카재단법 일부개정법률안,2023-11-16,외교통일위원회
2125476,하도급거래 공정화에 관한 법률 일부개정법률안,2023-11-16,정무위원회
2125475,수산업법 일부개정법률안,2023-11-16,농림축산식품해양수산위원회
2125474,문화재수리 등에 관한 법률 일부개정법률안,2023-11-16,문화체육관광위원회
2125467,조세특례제한법 일부개정법률안,2023-11-16,기획재정위원회
2125472,온라인 플랫폼 독점규제에 관한 법률안,2023-11-16,정무위원회
2125471,아이돌봄 지원법 일부개정법률안,2023-11-16,여성가족위원회
2125470,매장문화재 보호 및 조사에 관한 법률 일부개정법률안,2023-11-16,문화체육관광위원회
2125469,형사소송법 일부개정법률안,2023-11-16,법제사법위원회
2125468,문화재보호법 일부개정법률안,2023-11-16,문화체육관광위원회
2125466,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2023-11-16,정무위원회
2125465,독립유공자예우에 관한 법률 일부개정법률안,2023-11-16,정무위원회
2125481,노후준비 지원법 일부개정법률안,2023-11-16,보건복지위원회
2125480,제주4·3사건 진상규명 및 희생자 명예회복에 관한 특별법 일부개정법률안,2023-11-16,행정안전위원회
2125484,고향사랑 기부금에 관한 법률 일부개정법률안,2023-11-16,행정안전위원회
2125482,국가교육위원회 설치 및 운영에 관한 법률 일부개정법률안,2023-11-16,교육위원회
2125492,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2023-11-16,여성가족위원회
2125483,전기통신사업법 일부개정법률안,2023-11-16,과학기술정보방송통신위원회
2125498,건설기술 진흥법 일부개정법률안,2023-11-16,국토교통위원회
2125496,지방세특례제한법 일부개정법률안,2023-11-16,행정안전위원회
2125495,조세특례제한법 일부개정법률안,2023-11-16,기획재정위원회
2125494,이산화탄소 포집·저장 및 활용에 관한 법률안,2023-11-16,산업통상자원중소벤처기업위원회
2125493,경기도와 서울특별시 간 관할구역 변경에 관한 특별법안,2023-11-16,행정안전위원회
2125497,시설물의 안전 및 유지관리에 관한 특별법 일부개정법률안,2023-11-16,국토교통위원회
2125491,영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2023-11-16,문화체육관광위원회
2125489,국민 평생 직업능력 개발법 일부개정법률안,2023-11-16,환경노동위원회
2125488,상업등기법 일부개정법률안,2023-11-16,법제사법위원회
2125487,법인의 등기사항에 관한 특례법 일부개정법률안,2023-11-16,법제사법위원회
2125486,지방공무원법 일부개정법률안,2023-11-16,행정안전위원회
2125490,민법 일부개정법률안,2023-11-16,법제사법위원회
2125485,상법 일부개정법률안,2023-11-16,법제사법위원회
2125432,남북 이산가족 생사확인 및 교류 촉진에 관한 법률 일부개정법률안,2023-11-15,외교통일위원회
2125428,인체조직안전 및 관리 등에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125429,약사법 일부개정법률안,2023-11-15,보건복지위원회
2125430,의료기기법 일부개정법률안,2023-11-15,보건복지위원회
2125431,5·18민주유공자예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125435,도로교통법 일부개정법률안,2023-11-15,행정안전위원회
2125439,지방자치단체를 당사자로 하는 계약에 관한 법률 일부개정법률안,2023-11-15,행정안전위원회
2125434,참전유공자 예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125436,화장품법 일부개정법률안,2023-11-15,보건복지위원회
2125437,직업안정법 일부개정법률안,2023-11-15,환경노동위원회
2125426,위생용품 관리법 일부개정법률안,2023-11-15,보건복지위원회
2125427,식품·의약품분야 시험·검사 등에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125418,공중위생관리법 일부개정법률안,2023-11-15,보건복지위원회
2125425,식품위생법 일부개정법률안,2023-11-15,보건복지위원회
2125424,식품 등의 표시ㆍ광고에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125423,국고금 관리법 일부개정법률안,2023-11-15,기획재정위원회
2125422,사회서비스 이용 및 이용권 관리에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125421,모자보건법 일부개정법률안,2023-11-15,보건복지위원회
2125420,결혼중개업의 관리에 관한 법률 일부개정법률안,2023-11-15,여성가족위원회
2125419,형법 일부개정법률안,2023-11-15,법제사법위원회
2125417,공직선거법 일부개정법률안,2023-11-15,행정안전위원회
2125416,노인장기요양보험법 일부개정법률안,2023-11-15,보건복지위원회
2125415,국가재정법 일부개정법률안,2023-11-15,기획재정위원회
2125414,건강기능식품에 관한 법률 일부개정법률안,2023-11-15,보건복지위원회
2125438,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2023-11-15,과학기술정보방송통신위원회
2125433,항공사업법 일부개정법률안,2023-11-15,국토교통위원회
2125440,성매매알선 등 행위의 처벌에 관한 법률 일부개정법률안,2023-11-15,법제사법위원회
2125453,아동복지법 일부개정법률안,2023-11-15,보건복지위원회
2125441,지방교육자치에 관한 법률 일부개정법률안,2023-11-15,교육위원회
2125464,조세특례제한법 일부개정법률안,2023-11-15,기획재정위원회
2125463,여신전문금융업법 일부개정법률안,2023-11-15,정무위원회
2125462,특수임무유공자 예우 및 단체설립에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125460,교통약자의 이동편의 증진법 일부개정법률안,2023-11-15,국토교통위원회
2125459,독립유공자예우에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125458,아동·청소년의 성보호에 관한 법률 일부개정법률안,2023-11-15,여성가족위원회
2125457,보훈보상대상자 지원에 관한 법률 일부개정법률안,2023-11-15,정무위원회
2125456,변호사법 일부개정법률안,2023-11-15,법제사법위원회
